│ 2026-03-28 12:14:09.20  │ 51.553438 │ -0.155702 │ 39.8 │   0.17 │   0.27 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      61 │      44 │     846 │       0 │     846 │    9496 │     165 │       0 │      44 │     165 │
│ 2026-03-28 12:14:09.50  │ 51.553437 │ -0.155702 │ 39.8 │   0.17 │   0.27 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     117 │     193 │      93 │       0 │      93 │    9752 │      10 │       0 │      93 │      10 │
│ 2026-03-28 12:14:09.60  │ 51.553437 │ -0.155702 │ 39.8 │   0.15 │   0.25 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      99 │      81 │     277 │       0 │     277 │    9936 │     194 │       0 │      81 │     194 │
│ 2026-03-28 12:14:09.80  │ 51.553436 │ -0.155702 │ 39.8 │   0.15 │   0.25 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     117 │      97 │     493 │       0 │     493 │   10152 │     206 │       0 │      97 │     206 │
[145263] MISSING SEQUENCE! msg_id=0x0280, expected=1137, got=1138, missing=1, total_missing=33
│ 2026-03-28 12:14:10.00  │ 51.553436 │ -0.155702 │ 39.8 │   0.17 │   0.27 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     102 │      82 │     678 │       0 │     678 │   10337 │     185 │       0 │      82 │     185 │
│ 2026-03-28 12:14:10.20  │ 51.553436 │ -0.155702 │ 39.8 │   0.19 │   0.31 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │      87 │      67 │     863 │       0 │     863 │   10522 │     165 │       0 │      67 │     165 │
│ 2026-03-28 12:14:10.50  │ 51.553435 │ -0.155702 │ 39.8 │   0.23 │   0.36 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     103 │      82 │      83 │       0 │      83 │   10738 │     175 │       0 │      82 │     175 │
│ 2026-03-28 12:14:10.60  │ 51.553435 │ -0.155702 │ 39.8 │   0.25 │   0.40 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     128 │       8 │     308 │       0 │     308 │   10963 │     195 │       0 │       8 │     195 │
│ 2026-03-28 12:14:11.00  │ 51.553433 │ -0.155702 │ 39.8 │   0.28 │   0.46 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     144 │      24 │     524 │       0 │     524 │   11179 │     205 │       0 │      24 │     205 │
